#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
Philadelphia_1.fasta,NC_002942.5,15332,16909,-,cegC1,1-1578/1578,===============,0/0,100.00,100.00,vfdb,YP_094067,(cegC1) Dot/Icm type IV secretion system effector CegC1 zinc metallophospholipase C [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Philadelphia_1.fasta,NC_002942.5,44731,46254,-,ankQ/legA10,1-1524/1524,===============,0/0,100.00,100.00,vfdb,YP_094093,(ankQ/legA10) Dot/Icm type IV secretion system effector AnkQ/LegA10 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Philadelphia_1.fasta,NC_002942.5,54060,54272,-,lpg0045,1-213/213,===============,0/0,100.00,100.00,vfdb,YP_094100,(lpg0045) Dot/Icm type IV secretion system effector  [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Philadelphia_1.fasta,NC_002942.5,89551,90318,+,ceg3,1-768/768,===============,0/0,100.00,100.00,vfdb,YP_094134,(ceg3) Dot/Icm type IV secretion system effector Ceg3 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Philadelphia_1.fasta,NC_002942.5,90308,91633,-,lpg0081,1-1326/1326,===============,0/0,100.00,100.00,vfdb,YP_094135,(lpg0081) Dot/Icm type IV secretion system effector  [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Philadelphia_1.fasta,NC_002942.5,99689,103663,+,lem1,1-3975/3975,===============,0/0,100.00,100.00,vfdb,YP_094144,(lem1) Dot/Icm type IV secretion system effector Lem1 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Philadelphia_1.fasta,NC_002942.5,109946,111139,+,ceg4,1-1194/1194,===============,0/0,100.00,100.00,vfdb,YP_094150,(ceg4) Dot/Icm type IV secretion system effector Ceg4 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Philadelphia_1.fasta,NC_002942.5,118383,119243,-,vipF,1-861/861,===============,0/0,100.00,100.00,vfdb,YP_094157,(vipF) Dot/Icm type IV secretion system effector VipF [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Philadelphia_1.fasta,NC_002942.5,143588,146896,+,cegC2,1-3309/3309,===============,0/0,100.00,100.00,vfdb,YP_094180,(cegC2) Dot/Icm type IV secretion system effector CegC2 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Philadelphia_1.fasta,NC_002942.5,157650,163277,-,sdhB,1-5628/5628,===============,0/0,100.00,100.00,vfdb,YP_094189,(sdhB) Dot/Icm type IV secretion system effector SdhB [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Philadelphia_1.fasta,NC_002942.5,200453,201019,-,legU1,1-567/567,===============,0/0,100.00,100.00,vfdb,YP_094225,(legU1) Dot/Icm type IV secretion system effector LegU1 U-box E3 ubiquitin ligase [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Philadelphia_1.fasta,NC_002942.5,201209,201934,+,lpg0172,1-726/726,===============,0/0,100.00,100.00,vfdb,YP_094226,(lpg0172) Dot/Icm type IV secretion system effector [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Philadelphia_1.fasta,NC_002942.5,211023,211934,+,lpg0181,1-912/912,===============,0/0,100.00,100.00,vfdb,YP_094235,(lpg0181) Dot/Icm type IV secretion system effector [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Philadelphia_1.fasta,NC_002942.5,221236,222189,+,ceg5,1-954/954,===============,0/0,100.00,100.00,vfdb,YP_094245,(ceg5) Dot/Icm type IV secretion system effector Ceg5 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Philadelphia_1.fasta,NC_002942.5,223447,225696,-,katA,1-2250/2250,===============,0/0,100.00,100.00,vfdb,YP_094248,(katA) catalase/(hydro)peroxidase [KatAB (VF0168)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Philadelphia_1.fasta,NC_002942.5,225828,226832,-,ravE,1-1005/1005,===============,0/0,100.00,100.00,vfdb,YP_094249,(ravE) Dot/Icm type IV secretion system effector RavE [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Philadelphia_1.fasta,NC_002942.5,227034,228308,-,ravF,1-1275/1275,===============,0/0,100.00,100.00,vfdb,YP_094250,(ravF) Dot/Icm type IV secretion system effector RavF [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Philadelphia_1.fasta,NC_002942.5,243721,244344,+,ravG,1-624/624,===============,0/0,100.00,100.00,vfdb,YP_094264,(ravG) Dot/Icm type IV secretion system effector RavG [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Philadelphia_1.fasta,NC_002942.5,260923,262029,+,ceg7,1-1107/1107,===============,0/0,100.00,100.00,vfdb,YP_094281,(ceg7) Dot/Icm type IV secretion system effector Ceg7 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Philadelphia_1.fasta,NC_002942.5,272577,277121,-,sidE/laiD,1-4545/4545,===============,0/0,100.00,100.00,vfdb,YP_094288,(sidE/laiD) Dot/Icm type IV secretion system effector SidE [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Philadelphia_1.fasta,NC_002942.5,284008,284787,+,ceg8,1-780/780,===============,0/0,100.00,100.00,vfdb,YP_094294,(ceg8) Dot/Icm type IV secretion system effector Ceg9 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Philadelphia_1.fasta,NC_002942.5,293014,293739,+,ceg9,1-726/726,===============,0/0,100.00,100.00,vfdb,YP_094300,(ceg9) Dot/Icm Type IV secretion system effector Ceg9 manipulating host cell vesicle trafficking factors [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Philadelphia_1.fasta,NC_002942.5,303412,304404,+,lpg0257,1-993/993,===============,0/0,100.00,100.00,vfdb,YP_094311,(lpg0257) Dot/Icm type IV secretion system effector [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Philadelphia_1.fasta,NC_002942.5,308513,308911,+,lpg0260,1-399/399,===============,0/0,100.00,100.00,vfdb,YP_094314,(lpg0260) Dot/Icm type IV secretion system effector [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Philadelphia_1.fasta,NC_002942.5,323554,326904,+,sdbA,1-3351/3351,===============,0/0,100.00,100.00,vfdb,YP_094329,(sdbA) Dot/Icm type IV secretion system effector SdbA [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Philadelphia_1.fasta,NC_002942.5,327062,328561,+,legG2,1-1500/1500,===============,0/0,100.00,100.00,vfdb,YP_094330,(legG2) Dot/Icm type IV secretion system effector LegG2 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Philadelphia_1.fasta,NC_002942.5,338278,339402,-,ceg10,1-1125/1125,===============,0/0,100.00,100.00,vfdb,YP_094338,(ceg10) Dot/Icm type IV secretion system effector Ceg10 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Philadelphia_1.fasta,NC_002942.5,339639,340322,+,lem2,1-684/684,===============,0/0,100.00,100.00,vfdb,YP_094339,(lem2) Dot/Icm type IV secretion system effector Lem2 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Philadelphia_1.fasta,NC_002942.5,350967,351659,+,lpg0294,1-693/693,===============,0/0,100.00,100.00,vfdb,YP_094348,(lpg0294) Dot/Icm type IV secretion system effector [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
