#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
NY24.fasta,NZ_CP021260.1,14712,16289,-,cegC1,1-1578/1578,===============,0/0,100.00,92.39,vfdb,YP_094067,(cegC1) Dot/Icm type IV secretion system effector CegC1 zinc metallophospholipase C [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
NY24.fasta,NZ_CP021260.1,44362,45839,-,ankQ/legA10,1-1478/1524,===============,0/0,96.98,91.47,vfdb,YP_094093,(ankQ/legA10) Dot/Icm type IV secretion system effector AnkQ/LegA10 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
NY24.fasta,NZ_CP021260.1,49696,49905,-,lpg0045,1-213/213,========/======,1/3,98.59,86.85,vfdb,YP_094100,(lpg0045) Dot/Icm type IV secretion system effector  [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
NY24.fasta,NZ_CP021260.1,78998,79765,+,ceg3,1-768/768,===============,0/0,100.00,92.71,vfdb,YP_094134,(ceg3) Dot/Icm type IV secretion system effector Ceg3 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
NY24.fasta,NZ_CP021260.1,79755,81080,-,lpg0081,1-1326/1326,===============,0/0,100.00,91.55,vfdb,YP_094135,(lpg0081) Dot/Icm type IV secretion system effector  [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
NY24.fasta,NZ_CP021260.1,89109,93082,+,lem1,1-3975/3975,========/======,2/5,99.92,87.30,vfdb,YP_094144,(lem1) Dot/Icm type IV secretion system effector Lem1 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
NY24.fasta,NZ_CP021260.1,100679,101872,+,ceg4,1-1194/1194,========/======,2/6,99.75,89.22,vfdb,YP_094150,(ceg4) Dot/Icm type IV secretion system effector Ceg4 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
NY24.fasta,NZ_CP021260.1,109115,109975,-,vipF,1-861/861,===============,0/0,100.00,93.15,vfdb,YP_094157,(vipF) Dot/Icm type IV secretion system effector VipF [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
NY24.fasta,NZ_CP021260.1,134091,137399,+,cegC2,1-3309/3309,========/======,2/6,99.91,89.58,vfdb,YP_094180,(cegC2) Dot/Icm type IV secretion system effector CegC2 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
NY24.fasta,NZ_CP021260.1,148068,153695,-,sdhB,1-5628/5628,===============,0/0,100.00,94.60,vfdb,YP_094189,(sdhB) Dot/Icm type IV secretion system effector SdhB [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
