#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
Paris.fasta,NC_006368.1,14880,16457,-,cegC1,1-1578/1578,===============,0/0,100.00,97.47,vfdb,YP_094067,(cegC1) Dot/Icm type IV secretion system effector CegC1 zinc metallophospholipase C [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Paris.fasta,NC_006368.1,44415,45937,-,ankQ/legA10,2-1524/1524,===============,0/0,99.93,93.70,vfdb,YP_094093,(ankQ/legA10) Dot/Icm type IV secretion system effector AnkQ/LegA10 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Paris.fasta,NC_006368.1,52728,52940,-,lpg0045,1-213/213,===============,0/0,100.00,92.49,vfdb,YP_094100,(lpg0045) Dot/Icm type IV secretion system effector  [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Paris.fasta,NC_006368.1,97375,98142,+,ceg3,1-768/768,===============,0/0,100.00,87.63,vfdb,YP_094134,(ceg3) Dot/Icm type IV secretion system effector Ceg3 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Paris.fasta,NC_006368.1,98132,99457,-,lpg0081,1-1326/1326,===============,0/0,100.00,90.42,vfdb,YP_094135,(lpg0081) Dot/Icm type IV secretion system effector  [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Paris.fasta,NC_006368.1,107516,111490,+,lem1,1-3975/3975,===============,0/0,100.00,97.33,vfdb,YP_094144,(lem1) Dot/Icm type IV secretion system effector Lem1 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Paris.fasta,NC_006368.1,117963,119156,+,ceg4,1-1194/1194,===============,0/0,100.00,96.90,vfdb,YP_094150,(ceg4) Dot/Icm type IV secretion system effector Ceg4 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Paris.fasta,NC_006368.1,126393,127253,-,vipF,1-861/861,===============,0/0,100.00,98.03,vfdb,YP_094157,(vipF) Dot/Icm type IV secretion system effector VipF [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Paris.fasta,NC_006368.1,153049,156360,+,cegC2,1-3309/3309,========/======,1/3,100.00,97.40,vfdb,YP_094180,(cegC2) Dot/Icm type IV secretion system effector CegC2 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Paris.fasta,NC_006368.1,167114,172741,-,sdhB,1-5628/5628,===============,0/0,100.00,92.48,vfdb,YP_094189,(sdhB) Dot/Icm type IV secretion system effector SdhB [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Paris.fasta,NC_006368.1,256612,257178,-,legU1,1-567/567,===============,0/0,100.00,95.59,vfdb,YP_094225,(legU1) Dot/Icm type IV secretion system effector LegU1 U-box E3 ubiquitin ligase [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Paris.fasta,NC_006368.1,257368,258093,+,lpg0172,1-726/726,===============,0/0,100.00,96.01,vfdb,YP_094226,(lpg0172) Dot/Icm type IV secretion system effector [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Paris.fasta,NC_006368.1,269845,270756,+,lpg0181,1-912/912,===============,0/0,100.00,89.80,vfdb,YP_094235,(lpg0181) Dot/Icm type IV secretion system effector [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Paris.fasta,NC_006368.1,277434,278387,+,ceg5,1-954/954,===============,0/0,100.00,97.90,vfdb,YP_094245,(ceg5) Dot/Icm type IV secretion system effector Ceg5 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Paris.fasta,NC_006368.1,278622,280871,-,katA,1-2250/2250,===============,0/0,100.00,98.36,vfdb,YP_094248,(katA) catalase/(hydro)peroxidase [KatAB (VF0168)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Paris.fasta,NC_006368.1,280991,281995,-,ravE,1-1005/1005,===============,0/0,100.00,92.04,vfdb,YP_094249,(ravE) Dot/Icm type IV secretion system effector RavE [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
