#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
LPE509.fasta,CP003885.1,4117,5955,+,lpg3000,1-1839/1839,===============,0/0,100.00,98.31,vfdb,YP_096992,(lpg3000) Dot/Icm type IV secretion system effector [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
LPE509.fasta,CP003885.1,5952,6752,-,legP,1-801/801,===============,0/0,100.00,97.25,vfdb,YP_096991,(legP) Dot/Icm type IV secretion system effector LegP [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
LPE509.fasta,CP003885.1,30954,33569,+,lpg2975,1-2616/2616,===============,0/0,100.00,98.55,vfdb,YP_096967,(lpg2975) Dot/Icm type IV secretion system effector [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
LPE509.fasta,CP003885.1,40870,41460,-,sodB,1-591/591,===============,0/0,100.00,98.48,vfdb,YP_096960,(sodB) superoxide dismutase [SodB (VF0169)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
LPE509.fasta,CP003885.1,75202,75936,+,lpg2936,1-735/735,===============,0/0,100.00,100.00,vfdb,YP_096929,(lpg2936) Dot/Icm type IV secretion system effector [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
LPE509.fasta,CP003885.1,99193,100680,-,lpg2912,1-1488/1488,===============,0/0,100.00,98.19,vfdb,YP_096905,(lpg2912) Dot/Icm type IV secretion system effector [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
LPE509.fasta,CP003885.1,127529,129442,-,lpg2888,1-1914/1914,===============,0/0,100.00,100.00,vfdb,YP_096882,(lpg2888) Dot/Icm type IV secretion system effector [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
LPE509.fasta,CP003885.1,131925,132479,+,lpg2885,1-555/555,===============,0/0,100.00,100.00,vfdb,YP_096879,(lpg2885) Dot/Icm type IV secretion system effector [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
LPE509.fasta,CP003885.1,132789,133526,+,lpg2884,1-738/738,===============,0/0,100.00,100.00,vfdb,YP_096878,(lpg2884) Dot/Icm type IV secretion system effector [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
LPE509.fasta,CP003885.1,137925,139676,+,lpg2879,1-1752/1752,===============,0/0,100.00,100.00,vfdb,YP_096873,(lpg2879) Dot/Icm type IV secretion system effector [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
LPE509.fasta,CP003885.1,145204,146088,+,lpg2874,1-885/885,===============,0/0,100.00,100.00,vfdb,YP_096868,(lpg2874) Dot/Icm type IV secretion system effector [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
LPE509.fasta,CP003885.1,158449,160359,+,lgt2/legC8,1-1911/1911,===============,0/0,100.00,100.00,vfdb,YP_096856,(lgt2/legC8) Dot/Icm type IV secretion system effector Lgt2/LegC8 glucosyltransferase [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
LPE509.fasta,CP003885.1,192304,193944,+,lpg2832,1-1641/1641,===============,0/0,100.00,100.00,vfdb,YP_096827,(lpg2832) Dot/Icm type IV secretion system effector [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
LPE509.fasta,CP003885.1,193999,195864,-,vipD,1-1866/1866,===============,0/0,100.00,100.00,vfdb,YP_096826,(vipD) Dot/Icm type IV secretion system effector VipD Phospholipase A1 [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
