#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
Lorraine.fasta,NC_018139.1,14998,16575,-,cegC1,1-1578/1578,===============,0/0,100.00,97.34,vfdb,YP_094067,(cegC1) Dot/Icm type IV secretion system effector CegC1 zinc metallophospholipase C [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lorraine.fasta,NC_018139.1,45531,47053,-,ankQ/legA10,2-1524/1524,===============,0/0,99.93,97.24,vfdb,YP_094093,(ankQ/legA10) Dot/Icm type IV secretion system effector AnkQ/LegA10 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lorraine.fasta,NC_018139.1,50608,50820,-,lpg0045,1-213/213,===============,0/0,100.00,97.65,vfdb,YP_094100,(lpg0045) Dot/Icm type IV secretion system effector  [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lorraine.fasta,NC_018139.1,85183,85950,+,ceg3,1-768/768,===============,0/0,100.00,87.11,vfdb,YP_094134,(ceg3) Dot/Icm type IV secretion system effector Ceg3 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lorraine.fasta,NC_018139.1,85940,87265,-,lpg0081,1-1326/1326,===============,0/0,100.00,90.42,vfdb,YP_094135,(lpg0081) Dot/Icm type IV secretion system effector  [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lorraine.fasta,NC_018139.1,95323,99297,+,lem1,1-3975/3975,===============,0/0,100.00,97.84,vfdb,YP_094144,(lem1) Dot/Icm type IV secretion system effector Lem1 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lorraine.fasta,NC_018139.1,106866,108059,+,ceg4,1-1194/1194,===============,0/0,100.00,97.74,vfdb,YP_094150,(ceg4) Dot/Icm type IV secretion system effector Ceg4 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lorraine.fasta,NC_018139.1,114921,115781,-,vipF,1-861/861,===============,0/0,100.00,98.49,vfdb,YP_094157,(vipF) Dot/Icm type IV secretion system effector VipF [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lorraine.fasta,NC_018139.1,140055,143363,+,cegC2,1-3309/3309,===============,0/0,100.00,97.92,vfdb,YP_094180,(cegC2) Dot/Icm type IV secretion system effector CegC2 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lorraine.fasta,NC_018139.1,155123,160750,-,sdhB,1-5628/5628,===============,0/0,100.00,92.91,vfdb,YP_094189,(sdhB) Dot/Icm type IV secretion system effector SdhB [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lorraine.fasta,NC_018139.1,212251,212817,-,legU1,1-567/567,===============,0/0,100.00,95.77,vfdb,YP_094225,(legU1) Dot/Icm type IV secretion system effector LegU1 U-box E3 ubiquitin ligase [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lorraine.fasta,NC_018139.1,213008,213732,+,lpg0172,2-726/726,===============,0/0,99.86,97.52,vfdb,YP_094226,(lpg0172) Dot/Icm type IV secretion system effector [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lorraine.fasta,NC_018139.1,223800,224711,+,lpg0181,1-912/912,===============,0/0,100.00,90.46,vfdb,YP_094235,(lpg0181) Dot/Icm type IV secretion system effector [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lorraine.fasta,NC_018139.1,236495,237448,+,ceg5,1-954/954,===============,0/0,100.00,98.01,vfdb,YP_094245,(ceg5) Dot/Icm type IV secretion system effector Ceg5 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lorraine.fasta,NC_018139.1,237683,239932,-,katA,1-2250/2250,===============,0/0,100.00,98.36,vfdb,YP_094248,(katA) catalase/(hydro)peroxidase [KatAB (VF0168)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lorraine.fasta,NC_018139.1,240062,241066,-,ravE,1-1005/1005,===============,0/0,100.00,92.34,vfdb,YP_094249,(ravE) Dot/Icm type IV secretion system effector RavE [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lorraine.fasta,NC_018139.1,241353,242625,-,ravF,3-1275/1275,===============,0/0,99.84,88.77,vfdb,YP_094250,(ravF) Dot/Icm type IV secretion system effector RavF [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lorraine.fasta,NC_018139.1,258056,258679,+,ravG,1-624/624,===============,0/0,100.00,97.60,vfdb,YP_094264,(ravG) Dot/Icm type IV secretion system effector RavG [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lorraine.fasta,NC_018139.1,275261,276364,+,ceg7,1-1107/1107,========/======,1/3,99.73,92.95,vfdb,YP_094281,(ceg7) Dot/Icm type IV secretion system effector Ceg7 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lorraine.fasta,NC_018139.1,288044,292588,-,sidE/laiD,1-4545/4545,===============,0/0,100.00,94.96,vfdb,YP_094288,(sidE/laiD) Dot/Icm type IV secretion system effector SidE [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lorraine.fasta,NC_018139.1,310122,310847,+,ceg9,1-726/726,===============,0/0,100.00,99.17,vfdb,YP_094300,(ceg9) Dot/Icm Type IV secretion system effector Ceg9 manipulating host cell vesicle trafficking factors [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lorraine.fasta,NC_018139.1,320521,321513,+,lpg0257,1-993/993,===============,0/0,100.00,98.19,vfdb,YP_094311,(lpg0257) Dot/Icm type IV secretion system effector [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lorraine.fasta,NC_018139.1,326632,327030,+,lpg0260,1-399/399,===============,0/0,100.00,93.23,vfdb,YP_094314,(lpg0260) Dot/Icm type IV secretion system effector [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lorraine.fasta,NC_018139.1,343094,346444,+,sdbA,1-3351/3351,===============,0/0,100.00,97.28,vfdb,YP_094329,(sdbA) Dot/Icm type IV secretion system effector SdbA [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lorraine.fasta,NC_018139.1,346616,348115,+,legG2,1-1500/1500,===============,0/0,100.00,96.27,vfdb,YP_094330,(legG2) Dot/Icm type IV secretion system effector LegG2 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lorraine.fasta,NC_018139.1,360958,362082,-,ceg10,1-1125/1125,===============,0/0,100.00,97.96,vfdb,YP_094338,(ceg10) Dot/Icm type IV secretion system effector Ceg10 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lorraine.fasta,NC_018139.1,362320,363002,+,lem2,2-684/684,===============,0/0,99.85,97.80,vfdb,YP_094339,(lem2) Dot/Icm type IV secretion system effector Lem2 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lorraine.fasta,NC_018139.1,374335,375027,+,lpg0294,1-693/693,===============,0/0,100.00,98.56,vfdb,YP_094348,(lpg0294) Dot/Icm type IV secretion system effector [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lorraine.fasta,NC_018139.1,427550,427855,-,lpg0364,1-306/306,===============,0/0,100.00,98.04,vfdb,YP_094408,(lpg0364) Dot/Icm type IV secretion system effector [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lorraine.fasta,NC_018139.1,428031,430721,-,lpg0365,1-2691/2691,===============,0/0,100.00,98.48,vfdb,YP_094409,(lpg0365) Dot/Icm type IV secretion system effector [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lorraine.fasta,NC_018139.1,438092,438691,+,lpg0375,1-600/600,===============,0/0,100.00,98.33,vfdb,YP_094419,(lpg0375) Dot/Icm type IV secretion system effector [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lorraine.fasta,NC_018139.1,438731,443020,-,sdhA,1-4290/4290,===============,0/0,100.00,99.07,vfdb,YP_094420,(sdhA) Dot/Icm type IV secretion system effector SdhA [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lorraine.fasta,NC_018139.1,455903,456961,-,vipA,1-1059/1059,===============,0/0,100.00,98.58,vfdb,YP_094434,(vipA) Dot/Icm type IV secretion system effector VipA actin nucleator [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
