#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
Thunder_Bay.fasta,NC_021350.1,15332,16909,-,cegC1,1-1578/1578,===============,0/0,100.00,100.00,vfdb,YP_094067,(cegC1) Dot/Icm type IV secretion system effector CegC1 zinc metallophospholipase C [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Thunder_Bay.fasta,NC_021350.1,44731,46254,-,ankQ/legA10,1-1524/1524,===============,0/0,100.00,100.00,vfdb,YP_094093,(ankQ/legA10) Dot/Icm type IV secretion system effector AnkQ/LegA10 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Thunder_Bay.fasta,NC_021350.1,54060,54272,-,lpg0045,1-213/213,===============,0/0,100.00,100.00,vfdb,YP_094100,(lpg0045) Dot/Icm type IV secretion system effector  [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Thunder_Bay.fasta,NC_021350.1,89551,90318,+,ceg3,1-768/768,===============,0/0,100.00,100.00,vfdb,YP_094134,(ceg3) Dot/Icm type IV secretion system effector Ceg3 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Thunder_Bay.fasta,NC_021350.1,90308,91633,-,lpg0081,1-1326/1326,===============,0/0,100.00,100.00,vfdb,YP_094135,(lpg0081) Dot/Icm type IV secretion system effector  [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Thunder_Bay.fasta,NC_021350.1,99689,103663,+,lem1,1-3975/3975,===============,0/0,100.00,100.00,vfdb,YP_094144,(lem1) Dot/Icm type IV secretion system effector Lem1 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Thunder_Bay.fasta,NC_021350.1,109946,111139,+,ceg4,1-1194/1194,===============,0/0,100.00,100.00,vfdb,YP_094150,(ceg4) Dot/Icm type IV secretion system effector Ceg4 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Thunder_Bay.fasta,NC_021350.1,118383,119243,-,vipF,1-861/861,===============,0/0,100.00,100.00,vfdb,YP_094157,(vipF) Dot/Icm type IV secretion system effector VipF [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Thunder_Bay.fasta,NC_021350.1,143588,146896,+,cegC2,1-3309/3309,===============,0/0,100.00,100.00,vfdb,YP_094180,(cegC2) Dot/Icm type IV secretion system effector CegC2 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Thunder_Bay.fasta,NC_021350.1,157650,163277,-,sdhB,1-5628/5628,===============,0/0,100.00,100.00,vfdb,YP_094189,(sdhB) Dot/Icm type IV secretion system effector SdhB [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Thunder_Bay.fasta,NC_021350.1,200449,201015,-,legU1,1-567/567,===============,0/0,100.00,100.00,vfdb,YP_094225,(legU1) Dot/Icm type IV secretion system effector LegU1 U-box E3 ubiquitin ligase [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Thunder_Bay.fasta,NC_021350.1,201205,201930,+,lpg0172,1-726/726,===============,0/0,100.00,100.00,vfdb,YP_094226,(lpg0172) Dot/Icm type IV secretion system effector [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Thunder_Bay.fasta,NC_021350.1,211019,211930,+,lpg0181,1-912/912,===============,0/0,100.00,100.00,vfdb,YP_094235,(lpg0181) Dot/Icm type IV secretion system effector [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
