#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
Lens.fasta,NC_006369.1,14858,16435,-,cegC1,1-1578/1578,===============,0/0,100.00,97.34,vfdb,YP_094067,(cegC1) Dot/Icm type IV secretion system effector CegC1 zinc metallophospholipase C [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,45247,46769,-,ankQ/legA10,2-1524/1524,===============,0/0,99.93,96.13,vfdb,YP_094093,(ankQ/legA10) Dot/Icm type IV secretion system effector AnkQ/LegA10 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,50805,51017,-,lpg0045,1-213/213,===============,0/0,100.00,97.18,vfdb,YP_094100,(lpg0045) Dot/Icm type IV secretion system effector  [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,102895,106869,+,lem1,1-3975/3975,===============,0/0,100.00,98.19,vfdb,YP_094144,(lem1) Dot/Icm type IV secretion system effector Lem1 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,113342,114535,+,ceg4,1-1194/1194,===============,0/0,100.00,97.15,vfdb,YP_094150,(ceg4) Dot/Icm type IV secretion system effector Ceg4 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,121779,122639,-,vipF,1-861/861,===============,0/0,100.00,98.49,vfdb,YP_094157,(vipF) Dot/Icm type IV secretion system effector VipF [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,145792,149100,+,cegC2,1-3309/3309,===============,0/0,100.00,98.00,vfdb,YP_094180,(cegC2) Dot/Icm type IV secretion system effector CegC2 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,159856,165483,-,sdhB,1-5628/5628,===============,0/0,100.00,94.55,vfdb,YP_094189,(sdhB) Dot/Icm type IV secretion system effector SdhB [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,259905,260471,-,legU1,1-567/567,===============,0/0,100.00,93.47,vfdb,YP_094225,(legU1) Dot/Icm type IV secretion system effector LegU1 U-box E3 ubiquitin ligase [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,270792,271703,+,lpg0181,1-912/912,===============,0/0,100.00,89.69,vfdb,YP_094235,(lpg0181) Dot/Icm type IV secretion system effector [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,277451,279700,-,katA,1-2250/2250,===============,0/0,100.00,98.13,vfdb,YP_094248,(katA) catalase/(hydro)peroxidase [KatAB (VF0168)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,279832,280836,-,ravE,1-1005/1005,===============,0/0,100.00,98.41,vfdb,YP_094249,(ravE) Dot/Icm type IV secretion system effector RavE [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,281038,282310,-,ravF,3-1275/1275,===============,0/0,99.84,96.31,vfdb,YP_094250,(ravF) Dot/Icm type IV secretion system effector RavF [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,296694,297317,+,ravG,1-624/624,===============,0/0,100.00,97.28,vfdb,YP_094264,(ravG) Dot/Icm type IV secretion system effector RavG [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,313793,314899,+,ceg7,1-1107/1107,===============,0/0,100.00,92.32,vfdb,YP_094281,(ceg7) Dot/Icm type IV secretion system effector Ceg7 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,322701,327245,-,sidE/laiD,1-4545/4545,===============,0/0,100.00,97.62,vfdb,YP_094288,(sidE/laiD) Dot/Icm type IV secretion system effector SidE [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,334134,334910,+,ceg8,1-780/780,========/======,1/3,99.62,95.26,vfdb,YP_094294,(ceg8) Dot/Icm type IV secretion system effector Ceg9 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,343337,344062,+,ceg9,1-726/726,===============,0/0,100.00,98.35,vfdb,YP_094300,(ceg9) Dot/Icm Type IV secretion system effector Ceg9 manipulating host cell vesicle trafficking factors [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,353217,354209,+,lpg0257,1-993/993,===============,0/0,100.00,97.28,vfdb,YP_094311,(lpg0257) Dot/Icm type IV secretion system effector [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,358317,358715,+,lpg0260,1-399/399,===============,0/0,100.00,94.24,vfdb,YP_094314,(lpg0260) Dot/Icm type IV secretion system effector [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,372667,376020,+,sdbA,1-3351/3351,========/======,1/3,100.00,96.96,vfdb,YP_094329,(sdbA) Dot/Icm type IV secretion system effector SdbA [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,376220,377702,+,legG2,18-1500/1500,===============,0/0,98.87,95.62,vfdb,YP_094330,(legG2) Dot/Icm type IV secretion system effector LegG2 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,387343,388467,-,ceg10,1-1125/1125,===============,0/0,100.00,98.40,vfdb,YP_094338,(ceg10) Dot/Icm type IV secretion system effector Ceg10 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,388704,389387,+,lem2,1-684/684,===============,0/0,100.00,97.08,vfdb,YP_094339,(lem2) Dot/Icm type IV secretion system effector Lem2 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,399923,400615,+,lpg0294,1-693/693,===============,0/0,100.00,97.55,vfdb,YP_094348,(lpg0294) Dot/Icm type IV secretion system effector [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,453134,453439,-,lpg0364,1-306/306,===============,0/0,100.00,98.04,vfdb,YP_094408,(lpg0364) Dot/Icm type IV secretion system effector [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,453613,456303,-,lpg0365,1-2691/2691,===============,0/0,100.00,98.44,vfdb,YP_094409,(lpg0365) Dot/Icm type IV secretion system effector [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,463132,463731,+,lpg0375,1-600/600,===============,0/0,100.00,97.50,vfdb,YP_094419,(lpg0375) Dot/Icm type IV secretion system effector [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,463771,468060,-,sdhA,1-4290/4290,===============,0/0,100.00,97.20,vfdb,YP_094420,(sdhA) Dot/Icm type IV secretion system effector SdhA [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,480943,482001,-,vipA,1-1059/1059,===============,0/0,100.00,98.58,vfdb,YP_094434,(vipA) Dot/Icm type IV secretion system effector VipA actin nucleator [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,489199,489873,-,legA7,1-675/675,===============,0/0,100.00,94.37,vfdb,YP_094445,(legA7) Dot/Icm type IV secretion system effector LegA7 [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,490098,491642,+,ankG/ankZ/legA7,1-1545/1545,===============,0/0,100.00,96.38,vfdb,YP_094447,(ankG/ankZ/legA7) Dot/Icm type IV secretion system effector AnkG/AnkZ/LegA7 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,493372,493962,+,lpg0405,1-591/591,===============,0/0,100.00,98.48,vfdb,YP_094449,(lpg0405) Dot/Icm type IV secretion system effector [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,509327,510676,-,legY,1-1350/1350,===============,0/0,100.00,98.59,vfdb,YP_094466,(legY) Dot/Icm type IV secretion system effector LegY [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,520626,521435,-,ankJ/legA11,1-810/810,===============,0/0,100.00,96.42,vfdb,YP_094480,(ankJ/legA11) Dot/Icm type IV secretion system effector AnkJ/LegA11 [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,521696,523704,+,ceg14/sidL,1-2000/2001,========/======,2/9,99.95,94.92,vfdb,YP_094481,(ceg14/sidL) Dot/Icm type IV secretion system effector Ceg14/SidL [Dot/Icm (SS047)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,524521,525570,-,ceg15,1-1050/1050,===============,0/0,100.00,96.00,vfdb,YP_094483,(ceg15) Dot/Icm type IV secretion system effector Ceg15 [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,526046,526306,+,icmT,1-261/261,===============,0/0,100.00,99.23,vfdb,YP_094485,(icmT) Dot/Icm type IV secretion system protein IcmT [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,526307,526651,+,icmS,1-345/345,===============,0/0,100.00,98.84,vfdb,YP_094486,(icmS) Dot/Icm type IV secretion system chaperone IcmS [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,526751,527113,+,icmR,1-363/363,===============,0/0,100.00,98.35,vfdb,YP_094487,(icmR) Dot/Icm type IV secretion system protein IcmR [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,527180,527779,+,icmQ,1-600/600,===============,0/0,100.00,99.67,vfdb,YP_094488,(icmQ) Dot/Icm type IV secretion system protein IcmQ plays a critical role in the translocase and associates with IcmR [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,527954,529096,+,icmP/dotM,1-1143/1143,===============,0/0,100.00,99.12,vfdb,YP_094489,(icmP/dotM) Dot/Icm type IV secretion system protein IcmP/DotM [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,529093,531444,+,icmO/dotL,1-2352/2352,===============,0/0,100.00,97.70,vfdb,YP_094490,(icmO/dotL) Dot/Icm type IV secretion system coupling protein IcmO/DotL [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,531848,532417,+,icmN/dotK,1-570/570,===============,0/0,100.00,98.60,vfdb,YP_094491,(icmN/dotK) Dot/Icm type IV secretion system protein IcmN/DotK [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,532429,532713,+,icmM/dotJ,1-285/285,===============,0/0,100.00,97.89,vfdb,YP_094492,(icmM/dotJ) Dot/Icm type IV secretion system inner membrane complex IcmM/DotJ [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,532729,533367,+,icmL/dotI,1-639/639,===============,0/0,100.00,99.37,vfdb,YP_094493,(icmL/dotI) Dot/Icm type IV secretion system inner membrane complex IcmL/DotI [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,533367,534452,+,icmK/dotH,1-1086/1086,===============,0/0,100.00,94.29,vfdb,YP_094494,(icmK/dotH) Dot/Icm type IV secretion system outer membrane subcomplex protein IcmK/DotH [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
Lens.fasta,NC_006369.1,534457,537603,+,icmE/dotG,1-3147/3147,===============,0/0,100.00,94.03,vfdb,YP_094495,(icmE/dotG) Dot/Icm type IV secretion system central channel protein IcmE/DotG [Dot/Icm (VF0156)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1],
